type,dataset,ortho_files,shapes_file,channels,centroid_x,centroid_y,threshold,pixels,gid,pixels_after_threshold,VARIrgb_mean,VARIrgb_median,VARIrgb_std,VARIrgb_max,VARIrgb_min,GLI_mean,GLI_median,GLI_std,GLI_max,GLI_min,BGI_mean,BGI_median,BGI_std,BGI_max,BGI_min,HUE_mean,HUE_median,HUE_std,HUE_max,HUE_min,BGIrgb_mean,BGIrgb_median,BGIrgb_std,BGIrgb_max,BGIrgb_min,BI_mean,BI_median,BI_std,BI_max,BI_min,ExG_mean,ExG_median,ExG_std,ExG_max,ExG_min,NGRDI_mean,NGRDI_median,NGRDI_std,NGRDI_max,NGRDI_min
tif_multichannel,240219_F_RGB,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_RGB_v002.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,red green blue,570307.2582703135,4974988.124975547,,509346,12,509346,0.0206196342541634,0.0,0.0981119204301148,1.3333333333333333,-1.4,0.0981850282497315,0.0689655172413793,0.0916884447749831,1.0,-0.7142857142857143,,,,,,0.0004331010911846,0.0003685845756155,0.000370972247799,0.0036157436293511,-0.0021177195259668,0.6878639595439163,0.7326732673267328,0.1736248228548972,4.0,0.0,0.4112645595669073,0.4013082540149638,0.1874341646815401,0.9641557494056032,0.0050627233283757,1.666044969777854,1.627450980392157,0.7558051317514585,3.8745098039215686,0.0196078431372549,0.0166230802769905,0.0,0.0740638369269072,1.0,-0.8181818181818182
tif_multichannel,240219_F_RGB,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_RGB_v002.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,red green blue,570306.1116929419,4974985.432825172,,509658,13,509658,0.0213623174693141,0.006734083076365,0.0899125048125101,2.0,-0.7727272727272727,0.1019770243604358,0.0756972111553784,0.0861392752505601,0.9016393442622952,-0.5555555555555556,,,,,,0.0004799944963297,0.0004195107562374,0.0003869201806803,0.0028316902020873,-0.0014400504349748,0.6741723356872834,0.7171052631578947,0.1700395466605197,1.3,0.0,0.4127746887244904,0.4021536282187174,0.1891406966986581,0.9651893150793552,0.0032019473761871,1.673160156072365,1.6352941176470588,0.763791560922096,3.882352941176471,0.0117647058823529,0.0166025452751179,0.00418410041841,0.0673563044302924,0.9333333333333332,-0.7391304347826086
tif_multichannel,240219_F_RGB,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_RGB_v002.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,red green blue,570304.9614815944,4974982.73366016,,513078,36,513078,0.0230087150317696,0.0095693779904307,0.0896419455241997,5.0,-0.6666666666666666,0.1161709708144017,0.0891089108910891,0.0882650585916118,1.0,-0.3142857142857143,,,,,,0.0006285002860269,0.0005445572097716,0.0004951210538366,0.0039207922068561,-0.0010286078018098,0.6311726632172969,0.6711409395973154,0.1761686937610062,1.6666666666666667,0.0,0.4024518699971489,0.3874819389076389,0.1861525991555693,0.9537128052131996,0.0093352005601867,1.6315415635691672,1.576470588235294,0.753344316255284,3.854901960784314,0.0352941176470588,0.0180427299794208,0.0060975609756098,0.0677252398913146,1.0,-0.5
tif_multichannel,240219_F_RGB,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_RGB_v002.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,red green blue,570303.8109508874,4974980.041464584,,509676,37,509676,-0.010163669326249,-0.0194805194805194,0.0740762771294401,1.1428571428571428,-0.6666666666666666,0.0836814688550673,0.0632911392405063,0.0672309910009826,0.846153846153846,-0.2727272727272727,,,,,,0.0006480658894294,0.0005748103816037,0.0004630035369009,0.0036157436293512,-0.0010286078018098,0.6859087413931849,0.7236842105263158,0.1545672210402724,1.5,0.0,0.4313903437007831,0.425419409189611,0.184271717227657,0.9545589968043412,0.0176833323640113,1.7417281936436666,1.7215686274509805,0.7443474703389396,3.847058823529412,0.0745098039215686,-0.0060688469679072,-0.0122699386503067,0.05408267945,0.8,-0.4761904761904761
tif_multichannel,240219_F_RGB,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_RGB_v002.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,red green blue,570302.664678039,4974977.342341025,,509370,60,509370,-0.0059640148749749,-0.0120481927710843,0.0704554109812849,0.7837837837837837,-1.0,0.0905948389035471,0.0690423162583518,0.0713147507929928,0.7500000000000001,-0.3488372093023255,,,,,,0.0006657779332144,0.0006050635523836,0.0004345593319759,0.0039707091788462,-0.0010623904840105,0.6709399237566055,0.7119104642593957,0.1635781432316166,2.0,0.0,0.4292534129889123,0.4256422727534653,0.1800035394627198,0.9455914964858364,0.0106196580452757,1.7347331247712,1.7254901960784312,0.728001871269692,3.803921568627451,0.0431372549019607,-0.0028028099219856,-0.0075757575757576,0.0521579467154173,0.6744186046511628,-0.5
tif_multichannel,240219_F_RGB,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_RGB_v002.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,red green blue,570301.5180966739,4974974.650191562,,509667,61,509667,0.0254978398579791,0.0113636363636364,0.0926826865142681,3.5,-1.0,0.1272127471863479,0.0960451977401129,0.1004846553727806,1.0,-1.0,,,,,,0.0007100500773703,0.0006287618687237,0.0005242964175562,0.0044169357473896,-0.0011980254067578,0.6062013860215335,0.6506849315068494,0.1940139356248467,1.6666666666666667,0.0,0.4092359398779261,0.3961172568817706,0.191123488622732,0.956677899214286,0.0,1.6587382834397408,1.6117647058823528,0.775019249688398,3.850980392156863,0.0,0.021265269262109,0.0073529411764705,0.0732123906437511,1.0,-1.0
tif_multichannel,240219_F_RGB,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_RGB_v002.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,red green blue,570300.3703474589,4974971.951896122,,510738,84,510738,0.0126698132020471,0.0,0.0861968101169881,1.2857142857142858,-0.6666666666666666,0.1025957734151861,0.0754716981132075,0.085769034570645,1.0,-0.2941176470588235,,,,,,0.0005774548056755,0.0005082534022621,0.000429845805061,0.0030757304010011,-0.0014380335603973,0.6612475284273518,0.7049180327868853,0.1726732534896897,1.3333333333333333,0.0,0.4172087626656496,0.4093079526693226,0.1841881052344453,0.94461789121308,0.0045282374054088,1.6893040589707216,1.6627450980392158,0.7439755753874949,3.788235294117647,0.0156862745098039,0.0109256446119132,0.0,0.0654358312372793,1.0,-0.44
tif_multichannel,240219_F_RGB,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_RGB_v002.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,red green blue,570299.2188272936,4974969.2580026565,,511065,85,511065,0.0038303202290478,-0.0053763440860214,0.082009258037934,1.2857142857142858,-0.6666666666666666,0.0980023297442707,0.0738255033557046,0.079576328710254,0.875,-0.2631578947368421,,,,,,0.0006376669191045,0.0005702724058946,0.0004603897436419,0.0038038149842654,-0.0014365209044566,0.6613085222889771,0.7024793388429752,0.1690335135009447,1.5714285714285714,0.0,0.4193965147345527,0.413218721320036,0.182535427659726,0.9273881060366524,0.0133947068836073,1.6964116110475185,1.674509803921569,0.7381106604514025,3.7294117647058815,0.0470588235294117,0.0041761757846979,-0.0033003300330032,0.0614346930116152,1.0,-0.4545454545454545
tif_multichannel,240219_F_RGB,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_RGB_v002.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,red green blue,570298.0710697684,4974966.559710152,,509346,108,509346,0.0225917406601453,0.0096153846153847,0.0870112949144408,0.8888888888888888,-0.3902439024390244,0.1195028636702335,0.0909090909090909,0.0912889175757743,0.8867924528301888,-0.1044776119402985,,,,,,0.0006762334725049,0.0006126268449077,0.0004773526912464,0.0043700442215133,-0.0016094678560341,0.6225810795156558,0.6644295302013422,0.1765123991575987,1.0983606557377048,0.0,0.4079072696861694,0.3977445059853404,0.178975478838905,0.9451360066140396,0.0093352005601867,1.653708527267146,1.619607843137255,0.7241120999384183,3.792156862745098,0.0392156862745098,0.0184743629819079,0.0062111801242235,0.0673822808840298,0.7857142857142857,-0.3809523809523809
tif_multichannel,240219_F_RGB,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_RGB_v002.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,red green blue,570296.9244844096,4974963.8675616,,509655,109,509655,0.0241433575776219,0.0051546391752577,0.0998526670136701,1.4615384615384617,-0.6,0.1163904864198251,0.0860927152317881,0.0952165322793342,0.9487179487179486,-0.3043478260869565,,,,,,0.0006132901948569,0.0005485909660746,0.0004820670365848,0.0037554105856634,-0.0016140058214425,0.6335795548231352,0.6771653543307087,0.1762170897766263,1.1025641025641026,0.0,0.4055527701752927,0.3956057491405347,0.1858452421643331,0.9273217724254352,0.0150184644353935,1.6437359990351026,1.607843137254902,0.7516423384125079,3.7450980392156863,0.0588235294117647,0.0193683828938429,0.0031746031746031,0.0776667694600545,1.0,-0.5294117647058824
