type,dataset,ortho_files,shapes_file,channels,centroid_x,centroid_y,threshold,pixels,gid,pixels_after_threshold,altezza_mean,altezza_median,altezza_std,altezza_max,altezza_min,summation
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570292.3308561489,4974953.084935281,,42462,157,42462,125.99039140878904,125.98665618896484,0.0169023921521845,126.0764,125.95225,5349804.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570291.1845733069,4974950.385813998,,42452,180,42452,125.99870441910863,125.99649810791016,0.0138508632841349,126.06372,125.9517,5348897.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570290.0365012774,4974947.694496957,,42576,181,42576,126.01059282224728,126.00997924804688,0.0132157400181234,126.07673,125.97224,5365027.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570288.8852903034,4974944.993640082,,42550,204,42550,126.03421856639248,126.0322265625,0.0184702033788638,126.113815,125.989746,5362756.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570287.7372118919,4974942.302312613,,42466,205,42466,126.03718268732634,126.0351791381836,0.0125993605470641,126.09038,125.99375,5352295.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570286.5909250517,4974939.603192238,,42434,228,42434,126.04029787434604,126.03813934326172,0.0130583942864849,126.101685,126.00539,5348394.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570284.9020458587,4974935.601851607,,42468,229,42468,126.0482009983988,126.04800415039062,0.0108052044510039,126.1211,126.01805,5353015.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570283.7518160123,4974932.902690807,,42739,252,42739,126.05961767940288,126.06134033203124,0.0127279274439972,126.09895,126.01367,5387662.0
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570282.6012668271,4974930.21049945,,42466,253,42466,126.06806621768004,126.06675720214844,0.0117047795174172,126.13595,126.03367,5353606.5
tif_multichannel,240219_dem,/home/polyploidbreeding/rilievi_aerofotogrammetrici//240219_21 Fiorenzuola/EXPORT/240219_F_DEM_v001.tif,/home/polyploidbreeding/rilievi_aerofotogrammetrici//Fiorenzuola-SHAPE/Fiorenzuola.shp,altezza,570305.8863038833,4974988.707779782,,42468,11,42468,125.7791278138834,125.77742004394533,0.0154203421538937,125.832466,125.73585,5341588.0
